date,lake,sediment
2018-11-19,East Lake Bonney,0.1579432995583193
2018-11-19,Lake Hoare,0.0977158892717125
2018-11-19,Lake Fryxell,0.020832295836880843
2018-11-19,West Lake Bonney,0.1039513860910665
2018-11-23,East Lake Bonney,NA
2018-11-23,Lake Hoare,0.047381514486914966
2018-11-23,Lake Fryxell,0.024318823347630393
2018-11-23,West Lake Bonney,NA
2018-11-24,East Lake Bonney,0.12190013079409254
2018-11-24,Lake Hoare,0.07906933591060802
2018-11-24,Lake Fryxell,0.020825778893195056
2018-11-24,West Lake Bonney,0.0880239418437123
2018-11-26,East Lake Bonney,0.12378447380731813
2018-11-26,Lake Hoare,0.11113074081193189
2018-11-26,Lake Fryxell,0.02597346710041168
2018-11-26,West Lake Bonney,0.06877083341940284
2018-11-28,East Lake Bonney,0.12178956658928654
2018-11-28,Lake Hoare,0.08960383703961274
2018-11-28,Lake Fryxell,0.020596490297466553
2018-11-28,West Lake Bonney,0.037496514954837086
2018-11-30,East Lake Bonney,0.06995883611627504
2018-11-30,Lake Hoare,0.04848686497483857
2018-11-30,Lake Fryxell,0.017215685411356423
2018-11-30,West Lake Bonney,0.011233299663872437
2018-12-05,East Lake Bonney,0.0070697232065140446
2018-12-05,Lake Hoare,0.03634241198829857
2018-12-05,Lake Fryxell,0.04073335800887427
2018-12-05,West Lake Bonney,3.061953611904755e-4
2018-12-30,East Lake Bonney,0.006063480979064456
2018-12-30,Lake Hoare,0.07103191816771863
2018-12-30,Lake Fryxell,0.012154963975772235
2018-12-30,West Lake Bonney,6.077066995203512e-5
2019-01-01,East Lake Bonney,0.013385656263417305
2019-01-01,Lake Hoare,0.11144681602774681
2019-01-01,Lake Fryxell,0.05950597337214282
2019-01-01,West Lake Bonney,0.0017660116791375913
2019-01-04,East Lake Bonney,0.013539110878482417
2019-01-04,Lake Hoare,0.10233337970013968
2019-01-04,Lake Fryxell,0.06167115017364259
2019-01-04,West Lake Bonney,8.15063617192207e-4
2019-01-06,East Lake Bonney,0.013358071233087729
2019-01-06,Lake Hoare,0.12259809741168305
2019-01-06,Lake Fryxell,0.08571112001198351
2019-01-06,West Lake Bonney,9.36934423953059e-4
2019-01-10,East Lake Bonney,NA
2019-01-10,Lake Hoare,NA
2019-01-10,Lake Fryxell,0.08819535343849555
2019-01-10,West Lake Bonney,NA
2019-01-11,East Lake Bonney,0.012215424785390592
2019-01-11,Lake Hoare,0.19949712655477908
2019-01-11,Lake Fryxell,0.07426450868020769
2019-01-11,West Lake Bonney,0
2019-01-15,East Lake Bonney,0.025475164776435036
2019-01-15,Lake Hoare,0.11713637523003813
2019-01-15,Lake Fryxell,0.055663882682565655
2019-01-15,West Lake Bonney,0.002627623055595911
2019-01-24,East Lake Bonney,0.12993072338402264
2019-01-24,Lake Hoare,0.11861617139715246
2019-01-24,Lake Fryxell,0.05646190182014839
2019-01-24,West Lake Bonney,0.10969422298483551
2019-01-26,East Lake Bonney,NA
2019-01-26,Lake Hoare,NA
2019-01-26,Lake Fryxell,0.06248756877845148
2019-01-26,West Lake Bonney,NA
2019-11-06,East Lake Bonney,0.2820850069960578
2019-11-06,Lake Hoare,0.44979699866846196
2019-11-06,Lake Fryxell,0.21433922762051244
2019-11-06,West Lake Bonney,0.3164665517956017
2019-11-08,East Lake Bonney,0.2823573782760651
2019-11-08,Lake Hoare,0.42615963125601414
2019-11-08,Lake Fryxell,0.20298788824118644
2019-11-08,West Lake Bonney,0.31053118623793136
2019-11-10,East Lake Bonney,NA
2019-11-10,Lake Hoare,NA
2019-11-10,Lake Fryxell,0.2065069436787233
2019-11-10,West Lake Bonney,NA
2019-11-11,East Lake Bonney,0.2361993165226885
2019-11-11,Lake Hoare,0.38462980594485996
2019-11-11,Lake Fryxell,0.18041203167522343
2019-11-11,West Lake Bonney,0.2756797209382058
2019-11-15,East Lake Bonney,0.27735433795489384
2019-11-15,Lake Hoare,0.11100376691218103
2019-11-15,Lake Fryxell,0.17150705660576945
2019-11-15,West Lake Bonney,0.32328204765915847
2019-11-17,East Lake Bonney,0.30309371776878846
2019-11-17,Lake Hoare,0.11855673475940426
2019-11-17,Lake Fryxell,0.17719991023332096
2019-11-17,West Lake Bonney,0.38132760785520076
2019-11-24,East Lake Bonney,0.016729129289142275
2019-11-24,Lake Hoare,0.3489014869928356
2019-11-24,Lake Fryxell,0.13139284728924402
2019-11-24,West Lake Bonney,1.4718042511958576e-4
2019-11-26,East Lake Bonney,NA
2019-11-26,Lake Hoare,NA
2019-11-26,Lake Fryxell,0.35791463186964406
2019-11-26,West Lake Bonney,NA
2019-11-27,East Lake Bonney,0.03661836579209207
2019-11-27,Lake Hoare,0.16625827013122055
2019-11-27,Lake Fryxell,0.1049680643947794
2019-11-27,West Lake Bonney,0.006835471026133717
2019-12-03,East Lake Bonney,0.007082792642759118
2019-12-03,Lake Hoare,0.0778697251362973
2019-12-03,Lake Fryxell,0.0735008608689532
2019-12-03,West Lake Bonney,0.0019463194771742497
2019-12-17,East Lake Bonney,0.04116790688916811
2019-12-17,Lake Hoare,0.08145254940667646
2019-12-17,Lake Fryxell,0.0056989767929189914
2019-12-17,West Lake Bonney,0.07535462834566727
2019-12-24,East Lake Bonney,0.01806257922977249
2019-12-24,Lake Hoare,0.1361285634064187
2019-12-24,Lake Fryxell,0.03562773707206357
2019-12-24,West Lake Bonney,0.003954361258074626
2019-12-26,East Lake Bonney,0.018121878650854455
2019-12-26,Lake Hoare,0.15352739689536968
2019-12-26,Lake Fryxell,0.043170131540391656
2019-12-26,West Lake Bonney,0.0010603249714040439
2019-12-31,East Lake Bonney,0.009062183503992844
2019-12-31,Lake Hoare,0.24867974041953875
2019-12-31,Lake Fryxell,0.03147382316994486
2019-12-31,West Lake Bonney,0
2020-01-02,East Lake Bonney,0.018364074433338914
2020-01-02,Lake Hoare,0.16499074492749063
2020-01-02,Lake Fryxell,0.019568071162066176
2020-01-02,West Lake Bonney,1.8765298649668733e-4
2020-01-11,East Lake Bonney,0.01955412164446895
2020-01-11,Lake Hoare,0.07722404188956714
2020-01-11,Lake Fryxell,0.0011445996491238509
2020-01-11,West Lake Bonney,0
2020-01-20,East Lake Bonney,0.02540003722533573
2020-01-20,Lake Hoare,0.07179954543826148
2020-01-20,Lake Fryxell,0.004143185584543979
2020-01-20,West Lake Bonney,2.45265616104006e-4
2020-10-30,East Lake Bonney,0.585198156833649
2020-10-30,Lake Hoare,0.3206627086893422
2020-10-30,Lake Fryxell,0.2618354228604583
2020-10-30,West Lake Bonney,0.6047206237912176
2020-11-15,East Lake Bonney,0.47873579703271385
2020-11-15,Lake Hoare,0.29685066932812326
2020-11-15,Lake Fryxell,0.24335489307646657
2020-11-15,West Lake Bonney,0.46862450331449534
2020-11-17,East Lake Bonney,0.5097946156561378
2020-11-17,Lake Hoare,0.294371421120013
2020-11-17,Lake Fryxell,0.24537958692759293
2020-11-17,West Lake Bonney,0.5034546485543253
2020-11-19,East Lake Bonney,0.4713121625035998
2020-11-19,Lake Hoare,0.2903501891205088
2020-11-19,Lake Fryxell,0.2270176324696511
2020-11-19,West Lake Bonney,0.46487900346517536
2020-11-24,East Lake Bonney,0.4106231772154569
2020-11-24,Lake Hoare,0.28777856689994213
2020-11-24,Lake Fryxell,0.21637793257832527
2020-11-24,West Lake Bonney,0.334120834618807
2020-11-26,East Lake Bonney,0.35678636945784087
2020-11-26,Lake Hoare,0.28273408290260704
2020-11-26,Lake Fryxell,0.20057907585229248
2020-11-26,West Lake Bonney,0.2415432735532523
2020-11-28,East Lake Bonney,NA
2020-11-28,Lake Hoare,NA
2020-11-28,Lake Fryxell,0.17802322312549193
2020-11-28,West Lake Bonney,NA
2020-11-29,East Lake Bonney,0.26005404766649026
2020-11-29,Lake Hoare,0.27944190857699136
2020-11-29,Lake Fryxell,0.1742115566151918
2020-11-29,West Lake Bonney,0.11737369792535901
2020-12-01,East Lake Bonney,0.12680543653899806
2020-12-01,Lake Hoare,0.2352138667512918
2020-12-01,Lake Fryxell,0.16824587911978622
2020-12-01,West Lake Bonney,0.019819758446828928
2020-12-03,East Lake Bonney,0.16264592111110687
2020-12-03,Lake Hoare,0.18228967872215446
2020-12-03,Lake Fryxell,0.16310077021742503
2020-12-03,West Lake Bonney,0.04671129330687104
2020-12-08,East Lake Bonney,0.01845689749970909
2020-12-08,Lake Hoare,0.12567561119561993
2020-12-08,Lake Fryxell,0.15710337212225553
2020-12-08,West Lake Bonney,0.004295583923521917
2020-12-10,East Lake Bonney,0.016009098952636084
2020-12-10,Lake Hoare,0.19954102014657105
2020-12-10,Lake Fryxell,0.17533096728147946
2020-12-10,West Lake Bonney,0.01184404812709539
2020-12-14,East Lake Bonney,NA
2020-12-14,Lake Hoare,NA
2020-12-14,Lake Fryxell,0
2020-12-14,West Lake Bonney,NA
2020-12-15,East Lake Bonney,0.01745036333799359
2020-12-15,Lake Hoare,0.42959193129092477
2020-12-15,Lake Fryxell,0.10284060659178058
2020-12-15,West Lake Bonney,0.004638392210472358
2020-12-21,East Lake Bonney,0.004444417472113833
2020-12-21,Lake Hoare,0.2977573489362841
2020-12-21,Lake Fryxell,0.005523706378589853
2020-12-21,West Lake Bonney,0
2020-12-24,East Lake Bonney,0.0022571150897419874
2020-12-24,Lake Hoare,0.287383033524384
2020-12-24,Lake Fryxell,0.0014434340177103843
2020-12-24,West Lake Bonney,0
2020-12-26,East Lake Bonney,1.8068797886371587e-4
2020-12-26,Lake Hoare,0.2366898145148299
2020-12-26,Lake Fryxell,2.2247076034545983e-4
2020-12-26,West Lake Bonney,0
2020-12-30,East Lake Bonney,NA
2020-12-30,Lake Hoare,NA
2020-12-30,Lake Fryxell,1.9017600687220722e-4
2020-12-30,West Lake Bonney,NA
2021-01-06,East Lake Bonney,7.12240561842923e-4
2021-01-06,Lake Hoare,0.2335423362255097
2021-01-06,Lake Fryxell,0
2021-01-06,West Lake Bonney,0
2021-01-13,East Lake Bonney,0
2021-01-13,Lake Hoare,0.14423258350463605
2021-01-13,Lake Fryxell,0
2021-01-13,West Lake Bonney,0
2021-01-15,East Lake Bonney,NA
2021-01-15,Lake Hoare,NA
2021-01-15,Lake Fryxell,3.63255274714902e-4
2021-01-15,West Lake Bonney,NA
2021-01-16,East Lake Bonney,5.558739695698047e-4
2021-01-16,Lake Hoare,0.19471297909389232
2021-01-16,Lake Fryxell,0
2021-01-16,West Lake Bonney,0
2021-01-18,East Lake Bonney,0.006490530253213334
2021-01-18,Lake Hoare,0.37291279886034334
2021-01-18,Lake Fryxell,0
2021-01-18,West Lake Bonney,0
2021-01-22,East Lake Bonney,4.2539192363619995e-5
2021-01-22,Lake Hoare,0.22163559873530175
2021-01-22,Lake Fryxell,1.176693930756305e-4
2021-01-22,West Lake Bonney,0
2021-02-01,East Lake Bonney,8.436200255528111e-4
2021-02-01,Lake Hoare,0.20541361669660554
2021-02-01,Lake Fryxell,0
2021-02-01,West Lake Bonney,0
2021-10-31,East Lake Bonney,0.7258077672123908
2021-10-31,Lake Hoare,0.5478542529232803
2021-10-31,Lake Fryxell,0.3260307697346434
2021-10-31,West Lake Bonney,0.6965010507404807
2021-11-04,East Lake Bonney,0.7531602521240713
2021-11-04,Lake Hoare,0.5860954922810199
2021-11-04,Lake Fryxell,0.3505571416392921
2021-11-04,West Lake Bonney,0.7332974810898304
2021-11-09,East Lake Bonney,0.701635424792767
2021-11-09,Lake Hoare,0.40644762101583154
2021-11-09,Lake Fryxell,0.37421244676224863
2021-11-09,West Lake Bonney,0.6265770770609379
2021-11-11,East Lake Bonney,0.7465838295221331
2021-11-11,Lake Hoare,0.5757216724567111
2021-11-11,Lake Fryxell,0.37782986507285354
2021-11-11,West Lake Bonney,0.7024728070199489
2021-11-15,East Lake Bonney,NA
2021-11-15,Lake Hoare,NA
2021-11-15,Lake Fryxell,0.3377288960202717
2021-11-15,West Lake Bonney,NA
2021-11-20,East Lake Bonney,0.7660363523662089
2021-11-20,Lake Hoare,0.6368026180937884
2021-11-20,Lake Fryxell,0.6785464195162059
2021-11-20,West Lake Bonney,0.7163699412345883
2021-12-01,East Lake Bonney,NA
2021-12-01,Lake Hoare,NA
2021-12-01,Lake Fryxell,0.2279411418647211
2021-12-01,West Lake Bonney,NA
2021-12-02,East Lake Bonney,0.5160574369132517
2021-12-02,Lake Hoare,0.38482687767595014
2021-12-02,Lake Fryxell,0.25612967206747245
2021-12-02,West Lake Bonney,0.3571409377455711
2021-12-04,East Lake Bonney,0.6320198152959344
2021-12-04,Lake Hoare,0.5450970287993555
2021-12-04,Lake Fryxell,0.380511441286653
2021-12-04,West Lake Bonney,0.5195514552295205
2021-12-06,East Lake Bonney,0.41490178488194923
2021-12-06,Lake Hoare,0.3719085638294928
2021-12-06,Lake Fryxell,0.34400204900186493
