date,lake,sediment,ice_abundance,sediment_abundance
2018-01-03,East Lake Bonney,0.9981360262082223,0.9981360262082223,0.0018639737917777177
2018-01-03,West Lake Bonney,0.9573195424933443,0.9573195424933443,0.04268045750665572
2018-01-05,East Lake Bonney,0.9999999999999998,0.9999999999999998,2.220446049250313e-16
2018-01-05,West Lake Bonney,0.9615366961807055,0.9615366961807055,0.038463303819294525
2018-01-10,East Lake Bonney,0.8656593833599278,0.8656593833599278,0.13434061664007224
2018-01-10,West Lake Bonney,0.9792806215255988,0.9792806215255988,0.020719378474401196
2018-01-12,East Lake Bonney,0.8985501352798763,0.8985501352798763,0.10144986472012374
2018-01-12,West Lake Bonney,0.9547063508735742,0.9547063508735742,0.04529364912642575
2018-01-14,East Lake Bonney,0.956658604001065,0.956658604001065,0.04334139599893505
2018-01-14,West Lake Bonney,0.9576620102038191,0.9576620102038191,0.042337989796180864
2018-01-19,East Lake Bonney,0.9531615039641653,0.9531615039641653,0.046838496035834676
2018-01-19,West Lake Bonney,0.9454283356734541,0.9454283356734541,0.05457166432654592
2018-01-26,East Lake Bonney,0.9617772114372758,0.9617772114372758,0.03822278856272421
2018-01-26,West Lake Bonney,0.9372770298611273,0.9372770298611273,0.06272297013887274
2018-01-30,East Lake Bonney,0.9478687546499771,0.9478687546499771,0.05213124535002289
2018-01-30,West Lake Bonney,0.9255935365998014,0.9255935365998014,0.07440646340019863
2018-11-05,East Lake Bonney,0.9582583243324733,0.9582583243324733,0.041741675667526734
2018-11-05,West Lake Bonney,0.913680201168299,0.913680201168299,0.08631979883170104
2018-11-08,East Lake Bonney,0.8807245565370505,0.8807245565370505,0.11927544346294949
2018-11-08,West Lake Bonney,0.8895180455088045,0.8895180455088045,0.11048195449119547
