date,buffer_distance,lake,sediment
2022-11-28,50,East Lake Bonney,0.6353709340889742
2022-11-28,50,West Lake Bonney,0.9678617229839529
2022-12-05,50,East Lake Bonney,0.7462167491918352
2022-12-05,50,West Lake Bonney,0.9788384266531053
2022-12-11,50,East Lake Bonney,0.6568047267288034
2022-12-11,50,West Lake Bonney,0.957843505590712
2022-12-16,50,East Lake Bonney,0.8511809664545418
2022-12-16,50,West Lake Bonney,0.9530764971682217
2022-12-18,50,East Lake Bonney,0.8104836447436345
2022-12-18,50,West Lake Bonney,0.9493761393863858
2023-01-01,50,East Lake Bonney,0.6831499599232876
2023-01-01,50,West Lake Bonney,0.9648535566362155
2023-01-03,50,East Lake Bonney,0.7292929942512948
2023-01-03,50,West Lake Bonney,0.9728484265452981
2023-01-10,50,East Lake Bonney,0.6790599262549251
2023-01-10,50,West Lake Bonney,0.9661925981083073
2023-01-22,50,East Lake Bonney,0.7588265254207991
2023-01-22,50,West Lake Bonney,0.9583293092173084
2023-01-24,50,East Lake Bonney,0.7300291032801437
2023-01-24,50,West Lake Bonney,0.966852847092908
2023-11-17,50,East Lake Bonney,0.5631824394628353
2023-11-17,50,West Lake Bonney,0.9652821664725812
2023-11-19,50,East Lake Bonney,0.5297002345567594
2023-11-19,50,West Lake Bonney,0.9734003451552029
2023-12-05,50,East Lake Bonney,0.708064734659317
2023-12-05,50,West Lake Bonney,0.961735855870183
2023-12-19,50,East Lake Bonney,0.7902043101889645
2023-12-19,50,West Lake Bonney,0.9883511890769547
2023-12-28,50,East Lake Bonney,0.784569775560508
2023-12-28,50,West Lake Bonney,0.9925745890064658
2023-12-30,50,East Lake Bonney,0.7361218912884865
2023-12-30,50,West Lake Bonney,0.9974808872664708
2024-01-04,50,East Lake Bonney,0.7255948736730704
2024-01-04,50,West Lake Bonney,0.9983472303447932
2024-01-22,50,East Lake Bonney,0.6540699313122982
2024-01-22,50,West Lake Bonney,0.9868148333897809
2024-11-12,50,East Lake Bonney,0.5965086641221361
2024-11-12,50,West Lake Bonney,0.860688687410326
2024-11-14,50,East Lake Bonney,0.6615261839053592
2024-11-14,50,West Lake Bonney,0.8519914303179497
2024-11-21,50,East Lake Bonney,0.5944411788426334
2024-11-21,50,West Lake Bonney,0.8860171924920612
2024-12-21,50,East Lake Bonney,0.726198901268533
2024-12-21,50,West Lake Bonney,0.9418103727541257
2016-11-02,50,Lake Fryxell,0.9999999999999993
2016-11-04,50,Lake Fryxell,1.0000000000000002
2016-11-06,50,Lake Fryxell,0.9999999999999997
2016-11-08,50,Lake Fryxell,0.9999999999999996
2016-11-13,50,Lake Fryxell,0.9999999999999999
2016-11-15,50,Lake Fryxell,0.9999999999999998
2016-12-08,50,Lake Fryxell,0.9769661558672944
2016-12-10,50,Lake Fryxell,0.9830901599044958
2016-12-13,50,Lake Fryxell,0.9766857627725534
2016-12-15,50,Lake Fryxell,0.9861915538885874
2016-12-17,50,Lake Fryxell,0.9999999999999998
2016-12-19,50,Lake Fryxell,0.9953028082063577
2016-12-24,50,Lake Fryxell,0.9999999999999999
2017-01-02,50,Lake Fryxell,0.9999999999999998
2017-01-09,50,Lake Fryxell,1.0000000000000004
2017-01-11,50,Lake Fryxell,0.9999999999999996
2017-01-14,50,Lake Fryxell,1.0000000000000002
2017-01-18,50,Lake Fryxell,1
2017-01-25,50,Lake Fryxell,0.9999999999999998
2017-01-27,50,Lake Fryxell,0.9999999999999998
2017-01-30,50,Lake Fryxell,1.0000000000000002
2017-11-04,50,Lake Fryxell,0.8529713091452956
2017-11-07,50,Lake Fryxell,0.896255495507147
2017-11-18,50,Lake Fryxell,0.9036844052695967
2017-11-20,50,Lake Fryxell,0.8308732311941908
2017-11-21,50,Lake Fryxell,0.842485415392564
2017-11-25,50,Lake Fryxell,0.8180070318516781
2017-11-27,50,Lake Fryxell,0.8389931157692309
2017-11-30,50,Lake Fryxell,0.8582082311126171
2017-12-02,50,Lake Fryxell,0.8595802192194538
2017-12-07,50,Lake Fryxell,0.847496141457262
2017-12-16,50,Lake Fryxell,0.9923086616509739
2017-12-23,50,Lake Fryxell,0.9906646785509833
2018-01-03,50,Lake Fryxell,0.9999999999999997
2018-01-05,50,Lake Fryxell,0.9999999999999999
2018-01-07,50,Lake Fryxell,1
2018-01-10,50,Lake Fryxell,0.9956331802489463
2018-01-12,50,Lake Fryxell,0.9893866722988549
2018-01-14,50,Lake Fryxell,0.9704300221858301
2018-01-19,50,Lake Fryxell,0.9616461255951926
2018-01-26,50,Lake Fryxell,0.9993372145943751
2018-01-30,50,Lake Fryxell,0.999725094376755
2018-11-05,50,Lake Fryxell,0.875808047567575
2018-11-07,50,Lake Fryxell,0.918905753763243
2018-11-08,50,Lake Fryxell,0.875954596037075
2018-11-12,50,Lake Fryxell,0.8774172241669691
2018-11-17,50,Lake Fryxell,0.9131432709509417
2018-11-19,50,Lake Fryxell,0.8695131269669915
2018-11-24,50,Lake Fryxell,0.8983887417956917
2018-11-26,50,Lake Fryxell,0.8974710907515677
2018-11-28,50,Lake Fryxell,0.9046652785110318
2018-11-30,50,Lake Fryxell,0.8614892966432038
2018-12-05,50,Lake Fryxell,0.8706099610126382
2018-12-19,50,Lake Fryxell,0.999504672510184
2018-12-25,50,Lake Fryxell,0.7670624954342098
2018-12-30,50,Lake Fryxell,0.7970301306232529
2019-01-01,50,Lake Fryxell,0.8088962687291702
2019-01-04,50,Lake Fryxell,0.7895736960707949
2019-01-06,50,Lake Fryxell,0.7628998660968784
2019-01-10,50,Lake Fryxell,0.7602296931177525
2019-01-11,50,Lake Fryxell,0.7598009861454378
2019-01-15,50,Lake Fryxell,0.7979001916871533
2019-01-24,50,Lake Fryxell,0.7950234539545852
2019-01-26,50,Lake Fryxell,0.7681974880407801
2019-01-27,50,Lake Fryxell,0.7757413623066706
2019-11-04,50,Lake Fryxell,0.5511952154921049
2019-11-06,50,Lake Fryxell,0.5200177077354899
2019-11-08,50,Lake Fryxell,0.5257115715334985
2019-11-10,50,Lake Fryxell,0.5049388131550979
2019-11-11,50,Lake Fryxell,0.5450471452932236
2019-11-15,50,Lake Fryxell,0.5478130132969827
2019-11-17,50,Lake Fryxell,0.5316343941676582
2019-11-24,50,Lake Fryxell,0.542355529574428
2019-11-26,50,Lake Fryxell,0.5110754499938402
2019-11-27,50,Lake Fryxell,0.6089832066493401
2019-12-03,50,Lake Fryxell,0.579644713596802
2019-12-10,50,Lake Fryxell,0.9610647862373369
2019-12-12,50,Lake Fryxell,0.94923803834531
2019-12-17,50,Lake Fryxell,0.8689422047371659
2019-12-24,50,Lake Fryxell,0.7809429038427597
2019-12-26,50,Lake Fryxell,0.7975755686951729
2019-12-29,50,Lake Fryxell,0.8737319560425386
2019-12-31,50,Lake Fryxell,0.7978436977032245
2020-01-02,50,Lake Fryxell,0.7245630597196332
2020-01-11,50,Lake Fryxell,0.7665320774722307
2020-01-20,50,Lake Fryxell,0.698354919994952
2020-10-30,50,Lake Fryxell,0.8182895326108248
2020-11-08,50,Lake Fryxell,0.9122707017448046
2020-11-15,50,Lake Fryxell,0.7525505616964299
2020-11-17,50,Lake Fryxell,0.764307904553869
2020-11-19,50,Lake Fryxell,0.7648810146880678
2020-11-24,50,Lake Fryxell,0.7590136119027129
2020-11-26,50,Lake Fryxell,0.7436790855098501
2020-11-28,50,Lake Fryxell,0.7377979014384305
2020-11-29,50,Lake Fryxell,0.7129240025102348
2020-12-01,50,Lake Fryxell,0.648771501066556
2020-12-03,50,Lake Fryxell,0.6395954208824225
2020-12-08,50,Lake Fryxell,0.5821202026987942
2020-12-10,50,Lake Fryxell,0.6124502070477817
2020-12-14,50,Lake Fryxell,0.7201891935182753
2020-12-15,50,Lake Fryxell,0.6629738109958667
2020-12-21,50,Lake Fryxell,0.6627271492291174
2020-12-24,50,Lake Fryxell,0.6181456010972419
2020-12-26,50,Lake Fryxell,0.6175179534494191
2020-12-30,50,Lake Fryxell,0.5927717035039888
2021-01-06,50,Lake Fryxell,0.5673610613506236
2021-01-13,50,Lake Fryxell,0.5514191837627661
2021-01-16,50,Lake Fryxell,0.5511163123506998
2021-01-18,50,Lake Fryxell,0.5252216768360664
2021-01-22,50,Lake Fryxell,0.4666519637428113
2021-02-01,50,Lake Fryxell,0.5084463734412465
2021-10-31,50,Lake Fryxell,0.5314566966127038
2021-11-04,50,Lake Fryxell,0.5211768596652628
2021-11-09,50,Lake Fryxell,0.4711160375952974
2021-11-11,50,Lake Fryxell,0.46676904153054044
2021-11-15,50,Lake Fryxell,0.45767885545406
2021-11-20,50,Lake Fryxell,0.4979652801338805
2021-11-29,50,Lake Fryxell,0.7052763020841772
2021-12-01,50,Lake Fryxell,0.5711040205173172
2021-12-02,50,Lake Fryxell,0.5304808522199658
2021-12-04,50,Lake Fryxell,0.40597581284832174
2021-12-06,50,Lake Fryxell,0.39762162883618135
2021-12-08,50,Lake Fryxell,0.43039649253317
2021-12-11,50,Lake Fryxell,0.5281011545938714
2021-12-18,50,Lake Fryxell,0.8005864093295599
2021-12-20,50,Lake Fryxell,0.8086721217762667
2021-12-22,50,Lake Fryxell,0.8590296542510933
2021-12-24,50,Lake Fryxell,0.7823526101211357
2022-01-05,50,Lake Fryxell,0.6789040029659075
2022-01-07,50,Lake Fryxell,0.635843849565975
2022-01-12,50,Lake Fryxell,0.7088853138705213
2022-01-14,50,Lake Fryxell,0.6657340938346303
2022-01-16,50,Lake Fryxell,0.6664260174256533
2022-01-19,50,Lake Fryxell,0.6009216095628354
2022-01-21,50,Lake Fryxell,0.48504139944180413
2022-01-25,50,Lake Fryxell,0.5511701647597187
2022-01-28,50,Lake Fryxell,0.5611082541154861
2022-11-07,50,Lake Fryxell,0.3728455870299051
2022-11-14,50,Lake Fryxell,0.5808473327644142
2022-11-16,50,Lake Fryxell,0.561691592563767
2022-11-18,50,Lake Fryxell,0.44285556148552324
2022-11-19,50,Lake Fryxell,0.39376774418003363
2022-11-21,50,Lake Fryxell,0.32469841180787157
2022-11-23,50,Lake Fryxell,0.3394523047992575
2022-11-28,50,Lake Fryxell,0.5173836856276484
2022-12-04,50,Lake Fryxell,0.5172148862268238
2022-12-05,50,Lake Fryxell,0.551932440453119
2022-12-11,50,Lake Fryxell,0.7391376323662081
2022-12-16,50,Lake Fryxell,0.7279038575432084
2022-12-18,50,Lake Fryxell,0.7014045426674012
2023-01-01,50,Lake Fryxell,0.4565808270911656
2023-01-03,50,Lake Fryxell,0.6331939050803377
2023-01-10,50,Lake Fryxell,0.646489002730868
2023-01-15,50,Lake Fryxell,0.7080120279278264
2023-01-22,50,Lake Fryxell,0.6203578407641267
2023-01-24,50,Lake Fryxell,0.6105460761775886
2023-11-17,50,Lake Fryxell,0.7261547206101888
2023-11-19,50,Lake Fryxell,0.6311710863886619
2023-11-21,50,Lake Fryxell,0.6182692768722641
2023-12-05,50,Lake Fryxell,0.8358382968941196
2023-12-07,50,Lake Fryxell,0.869896420002945
2023-12-19,50,Lake Fryxell,0.853779576953328
2023-12-28,50,Lake Fryxell,0.8390050675272571
2023-12-30,50,Lake Fryxell,0.8762145954524792
2024-01-04,50,Lake Fryxell,0.8688875318729798
2024-01-13,50,Lake Fryxell,0.9058898255600786
2024-01-22,50,Lake Fryxell,0.9638348890504235
2024-01-24,50,Lake Fryxell,0.9999999999999997
2024-11-03,50,Lake Fryxell,0.9882348245579992
2024-11-07,50,Lake Fryxell,0.9999999999999997
2024-11-12,50,Lake Fryxell,0.989647131651771
2024-11-14,50,Lake Fryxell,0.9843093545442921
2024-11-21,50,Lake Fryxell,0.9999999999999998
2024-12-09,50,Lake Fryxell,0.9853713805925154
2024-12-21,50,Lake Fryxell,0.9999999999999998
2016-11-02,50,Lake Hoare,0.7400356105165267
2016-11-04,50,Lake Hoare,0.7471442492277752
2016-11-06,50,Lake Hoare,0.7381996534174455
2016-11-08,50,Lake Hoare,0.69388292201371915
2016-11-15,50,Lake Hoare,0.7558791161078876
2016-12-10,50,Lake Hoare,0.8172072050218593
2016-12-13,50,Lake Hoare,0.6266466402696204
2016-12-15,50,Lake Hoare,0.5101135313004258
2016-12-17,50,Lake Hoare,0.18346537047801204
2016-12-24,50,Lake Hoare,0.8216839849530596
2017-01-02,50,Lake Hoare,0.9999999999999998
2017-01-11,50,Lake Hoare,0.9999999999999996
2017-01-14,50,Lake Hoare,1.0000000000000002
2017-01-18,50,Lake Hoare,1
2017-01-25,50,Lake Hoare,0.9872588204139292
