time,depth,temperature,thickness,Iteration
2023-04-18T12:15:00Z,0,242.86999999999998,4.676855597789756,55902
2023-04-18T13:15:00Z,0,243.46999999999997,4.676951125537396,55903
2023-04-18T14:15:00Z,0,246.36999999999998,4.676744360139146,55904
2023-04-18T15:15:00Z,0,247.51,4.676840252291652,55905
2023-04-18T16:15:00Z,0,250.42,4.676666727554976,55906
2023-04-18T17:15:00Z,0,246.65999999999997,4.676762846622493,55907
2023-04-18T18:15:00Z,0,247.32999999999998,4.676858933370141,55908
2023-04-18T19:15:00Z,0,246.7,4.67695505343472,55909
2023-04-18T20:15:00Z,0,247.85999999999999,4.677051209422254,55910
2023-04-18T21:15:00Z,0,249.98999999999998,4.6770680215908715,55911
2023-04-18T22:15:00Z,0,254.55999999999997,4.676477267557982,55912
2023-04-18T23:15:00Z,0,255.61999999999998,4.676574208084847,55913
2023-04-19T00:15:00Z,0,255.89,4.6766709543235985,55914
2023-04-19T01:15:00Z,0,256.39,4.676767707944736,55915
2023-04-19T02:15:00Z,0,256.96,4.676864464125127,55916
2023-04-19T03:15:00Z,0,254.10999999999999,4.676961251522549,55917
2023-04-19T04:15:00Z,0,253.24999999999997,4.677058071787331,55918
2023-04-19T05:15:00Z,0,250.58999999999997,4.677154933820541,55919
2023-04-19T06:15:00Z,0,250.85999999999999,4.677251839582405,55920
2023-04-19T07:15:00Z,0,251.82,4.677348792873519,55921
2023-04-19T08:15:00Z,0,256.28999999999996,4.676794309641276,55922
2023-04-19T09:15:00Z,0,256.84999999999997,4.676891933945744,55923
2023-04-19T10:15:00Z,0,256.58,4.676989381538468,55924
2023-04-19T11:15:00Z,0,256.42999999999995,4.677086839163597,55925
2023-04-19T12:15:00Z,0,256.65,4.677184302553682,55926
2023-04-19T13:15:00Z,0,256.64,4.67728179769671,55927
2023-04-19T14:15:00Z,0,256.67999999999995,4.677379326127231,55928
2023-04-19T15:15:00Z,0,257.27,4.677476895865031,55929
2023-04-19T16:15:00Z,0,257.41999999999996,4.677574508709975,55930
2023-04-19T17:15:00Z,0,257.91999999999996,4.677672168094816,55931
2023-04-19T18:15:00Z,0,257.59,4.6777698754268195,55932
2023-04-19T19:15:00Z,0,257.90999999999997,4.677867632507777,55933
2023-04-19T20:15:00Z,0,257.97999999999996,4.67796544036555,55934
2023-04-19T21:15:00Z,0,257.79999999999995,4.678063300082959,55935
2023-04-19T22:15:00Z,0,258.42999999999995,4.6781612124037935,55936
2023-04-19T23:15:00Z,0,258.62,4.678259178038355,55937
2023-04-20T00:15:00Z,0,258.71999999999997,4.678357197527803,55938
2023-04-20T01:15:00Z,0,259.16999999999996,4.678455271364001,55939
2023-04-20T02:15:00Z,0,259.44,4.6785533999435405,55940
2023-04-20T03:15:00Z,0,259.94,4.678651583617781,55941
2023-04-20T04:15:00Z,0,260.22999999999996,4.678749822678518,55942
2023-04-20T05:15:00Z,0,260.53999999999996,4.6788481173804115,55943
2023-04-20T06:15:00Z,0,260.34999999999997,4.678946467937708,55944
2023-04-20T07:15:00Z,0,260.17999999999995,4.6790448745351645,55945
2023-04-20T08:15:00Z,0,260.31,4.679143337328427,55946
2023-04-20T09:15:00Z,0,260.29999999999995,4.679241856449878,55947
2023-04-20T10:15:00Z,0,260.88,4.67934043201002,55948
2023-04-20T11:15:00Z,0,260.84999999999997,4.679439064100928,55949
2023-04-20T12:15:00Z,0,261.41999999999996,4.679537752797741,55950
2023-04-20T13:15:00Z,0,261.92999999999995,4.679636498160891,55951
2023-04-20T14:15:00Z,0,260.83,4.679735300237418,55952
2023-04-20T15:15:00Z,0,256.83,4.679834159062525,55953
2023-04-20T16:15:00Z,0,254.33999999999997,4.679933074660675,55954
2023-04-20T17:15:00Z,0,252.83999999999997,4.680032047046727,55955
2023-04-20T18:15:00Z,0,251.34999999999997,4.680131076226834,55956
2023-04-20T19:15:00Z,0,250.32,4.680230162199313,55957
2023-04-20T20:15:00Z,0,249.84999999999997,4.680329304955375,55958
2023-04-20T21:15:00Z,0,250.17999999999998,4.680428504479808,55959
2023-04-20T22:15:00Z,0,249.95999999999998,4.680527760751574,55960
2023-04-20T23:15:00Z,0,251.32999999999998,4.680606311933684,55961
2023-04-21T00:15:00Z,0,251.86999999999998,4.6807056929381785,55962
2023-04-21T01:15:00Z,0,251.73999999999998,4.680805129243413,55963
2023-04-21T02:15:00Z,0,251.08999999999997,4.6809046204421,55964
2023-04-21T03:15:00Z,0,251.70999999999998,4.681004167461651,55965
2023-04-21T04:15:00Z,0,261.81,4.67898123609353,55966
2023-04-21T05:15:00Z,0,254.72999999999996,4.679082893141653,55967
2023-04-21T06:15:00Z,0,263.29999999999995,4.677530434396072,55968
2023-04-21T07:15:00Z,0,257.96,4.677632781434768,55969
2023-04-21T08:15:00Z,0,257.63,4.677734359389976,55970
2023-04-21T09:15:00Z,0,256.85999999999996,4.677835804504559,55971
